Type, Size, Evals, GPop, Time, GPop_sec, L1, L2, L3, Cache_misses, Misses_GPop
SIMD, 100000, 500, 860400000, 0.299292, 2874784512.000000, 113879457, 115568768, 13, 229448238, 0.266676
SIMD, 100000, 500, 1036000000, 0.357624, 2896897280.000000, 135848312, 137830034, 5, 273678351, 0.264168
SIMD, 100000, 500, 990200000, 0.342373, 2892167168.000000, 130116310, 132040564, 6, 262156880, 0.264751
SIMD, 100000, 500, 1009800000, 0.348996, 2893442816.000000, 132572884, 134494973, 7, 267067864, 0.264476
SIMD, 100000, 500, 1114600000, 0.383930, 2903133184.000000, 145680590, 147846549, 24, 293527163, 0.263348
SIMD, 100000, 500, 1001600000, 0.346303, 2892264960.000000, 131546191, 133502740, 1, 265048932, 0.264626
SIMD, 100000, 500, 953200000, 0.330173, 2886971392.000000, 125490842, 127348260, 7, 252839109, 0.265253
SIMD, 100000, 500, 1099400000, 0.378837, 2902039552.000000, 143784498, 145887153, 44, 289671695, 0.263482
SIMD, 100000, 500, 1100600000, 0.379262, 2901951744.000000, 143937089, 146035261, 7, 289972357, 0.263468
SIMD, 100000, 500, 1165000000, 0.393628, 2959646976.000000, 151989974, 154164080, 43, 306154097, 0.262793
SIMD, 100000, 500, 1001000000, 0.346319, 2890398720.000000, 131473845, 133405658, 6, 264879509, 0.264615
SIMD, 100000, 500, 1141600000, 0.393014, 2904731136.000000, 149060016, 151264470, 5, 300324491, 0.263073
SIMD, 100000, 500, 1066400000, 0.367994, 2897873152.000000, 139654753, 141712876, 9, 281367638, 0.263848
SIMD, 100000, 500, 970600000, 0.335883, 2889696768.000000, 127664338, 129545199, 44, 257209581, 0.265001
SIMD, 100000, 500, 916400000, 0.317835, 2883257088.000000, 120887287, 122658311, 23, 243545621, 0.265763
SIMD, 100000, 500, 981800000, 0.339794, 2889397504.000000, 129068927, 130993238, 16, 260062181, 0.264883
SIMD, 100000, 500, 1078800000, 0.372070, 2899454208.000000, 141203327, 143306581, 11, 284509919, 0.263728
SIMD, 100000, 500, 1132400000, 0.389856, 2904662272.000000, 147914534, 150125892, 13, 298040439, 0.263194
SIMD, 100000, 1000, 2098000000, 0.722811, 2902556928.000000, 274984897, 279071972, 14, 554056883, 0.264088
SIMD, 100000, 1000, 2164200000, 0.745334, 2903664384.000000, 283267679, 287473598, 8, 570741285, 0.263719
SIMD, 100000, 1000, 1943200000, 0.671465, 2893970688.000000, 255614089, 259414569, 8, 515028666, 0.265042
SIMD, 100000, 1000, 2231400000, 0.767774, 2906323968.000000, 291678578, 296002587, 24, 587681189, 0.263369
SIMD, 100000, 1000, 1990000000, 0.687114, 2896171520.000000, 261462566, 265285249, 4, 526747819, 0.264697
SIMD, 100000, 1000, 2271400000, 0.781023, 2908236800.000000, 296689849, 301070425, 4, 597760278, 0.263168
SIMD, 100000, 1000, 2287800000, 0.786395, 2909224960.000000, 298723579, 303124512, 17, 601848108, 0.263068
SIMD, 100000, 1000, 1926000000, 0.665483, 2894138624.000000, 253456645, 257226418, 15, 510683078, 0.265152
SIMD, 100000, 1000, 2035800000, 0.702286, 2898819072.000000, 267199006, 271100509, 29, 538299544, 0.264417
SIMD, 100000, 1000, 2313200000, 0.794777, 2910502144.000000, 301906538, 306373839, 11, 608280388, 0.262961
SIMD, 100000, 1000, 2015800000, 0.695951, 2896468480.000000, 264703638, 268612396, 54, 533316088, 0.264568
SIMD, 100000, 1000, 2424400000, 0.832145, 2913434368.000000, 315824940, 320497835, 6, 636322781, 0.262466
